// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 1 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\rodrigo.oliveira\RiderProjects\BenchmarkExample\BenchmarkExample\bin\Release\net5.0\d8372c9e-ba4d-4ca5-82b6-1162fd9cb9e3
// command took 2,4s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\rodrigo.oliveira\RiderProjects\BenchmarkExample\BenchmarkExample\bin\Release\net5.0\d8372c9e-ba4d-4ca5-82b6-1162fd9cb9e3
// command took 3,11s and exited with 0
// ***** Done, took 00:00:05 (5.63 sec)   *****
// Found 1 benchmarks:
//   DateParserBenchmarks.GetYearFromDateTime: DefaultJob

// **************************
// Benchmark: DateParserBenchmarks.GetYearFromDateTime: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "d8372c9e-ba4d-4ca5-82b6-1162fd9cb9e3.dll" --benchmarkName "BenchmarkExample.DateParserBenchmarks.GetYearFromDateTime" --job "Default" --benchmarkId 0 in C:\Users\rodrigo.oliveira\RiderProjects\BenchmarkExample\BenchmarkExample\bin\Release\net5.0\d8372c9e-ba4d-4ca5-82b6-1162fd9cb9e3\bin\Release\netcoreapp5.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 5.0.1 (CoreCLR 5.0.120.57516, CoreFX 5.0.120.57516), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 204700.00 ns, 204.7000 us/op
WorkloadJitting  1: 1 op, 12810200.00 ns, 12.8102 ms/op

OverheadJitting  2: 16 op, 199400.00 ns, 12.4625 us/op
WorkloadJitting  2: 16 op, 367100.00 ns, 22.9438 us/op

WorkloadPilot    1: 16 op, 35700.00 ns, 2.2313 us/op
WorkloadPilot    2: 32 op, 79700.00 ns, 2.4906 us/op
WorkloadPilot    3: 64 op, 76300.00 ns, 1.1922 us/op
WorkloadPilot    4: 128 op, 110400.00 ns, 862.5000 ns/op
WorkloadPilot    5: 256 op, 197900.00 ns, 773.0469 ns/op
WorkloadPilot    6: 512 op, 362900.00 ns, 708.7891 ns/op
WorkloadPilot    7: 1024 op, 643800.00 ns, 628.7109 ns/op
WorkloadPilot    8: 2048 op, 1430100.00 ns, 698.2910 ns/op
WorkloadPilot    9: 4096 op, 2745900.00 ns, 670.3857 ns/op
WorkloadPilot   10: 8192 op, 8597400.00 ns, 1.0495 us/op
WorkloadPilot   11: 16384 op, 13773900.00 ns, 840.6921 ns/op
WorkloadPilot   12: 32768 op, 27679000.00 ns, 844.6960 ns/op
WorkloadPilot   13: 65536 op, 48410600.00 ns, 738.6871 ns/op
WorkloadPilot   14: 131072 op, 117616700.00 ns, 897.3442 ns/op
WorkloadPilot   15: 262144 op, 168029100.00 ns, 640.9801 ns/op
WorkloadPilot   16: 524288 op, 402673100.00 ns, 768.0380 ns/op
WorkloadPilot   17: 1048576 op, 895090500.00 ns, 853.6248 ns/op

OverheadWarmup   1: 1048576 op, 3076600.00 ns, 2.9341 ns/op
OverheadWarmup   2: 1048576 op, 2507400.00 ns, 2.3912 ns/op
OverheadWarmup   3: 1048576 op, 3701600.00 ns, 3.5301 ns/op
OverheadWarmup   4: 1048576 op, 3243900.00 ns, 3.0936 ns/op
OverheadWarmup   5: 1048576 op, 2559100.00 ns, 2.4405 ns/op
OverheadWarmup   6: 1048576 op, 3699200.00 ns, 3.5278 ns/op
OverheadWarmup   7: 1048576 op, 3179100.00 ns, 3.0318 ns/op

OverheadActual   1: 1048576 op, 3299900.00 ns, 3.1470 ns/op
OverheadActual   2: 1048576 op, 2588200.00 ns, 2.4683 ns/op
OverheadActual   3: 1048576 op, 2454700.00 ns, 2.3410 ns/op
OverheadActual   4: 1048576 op, 2975900.00 ns, 2.8380 ns/op
OverheadActual   5: 1048576 op, 2474700.00 ns, 2.3601 ns/op
OverheadActual   6: 1048576 op, 3315700.00 ns, 3.1621 ns/op
OverheadActual   7: 1048576 op, 2700000.00 ns, 2.5749 ns/op
OverheadActual   8: 1048576 op, 3217900.00 ns, 3.0688 ns/op
OverheadActual   9: 1048576 op, 2620800.00 ns, 2.4994 ns/op
OverheadActual  10: 1048576 op, 3618400.00 ns, 3.4508 ns/op
OverheadActual  11: 1048576 op, 2898300.00 ns, 2.7640 ns/op
OverheadActual  12: 1048576 op, 2699400.00 ns, 2.5743 ns/op
OverheadActual  13: 1048576 op, 3041700.00 ns, 2.9008 ns/op
OverheadActual  14: 1048576 op, 2863200.00 ns, 2.7306 ns/op
OverheadActual  15: 1048576 op, 3020600.00 ns, 2.8807 ns/op
OverheadActual  16: 1048576 op, 3727200.00 ns, 3.5545 ns/op
OverheadActual  17: 1048576 op, 3051400.00 ns, 2.9100 ns/op
OverheadActual  18: 1048576 op, 3056400.00 ns, 2.9148 ns/op
OverheadActual  19: 1048576 op, 3618000.00 ns, 3.4504 ns/op
OverheadActual  20: 1048576 op, 2691500.00 ns, 2.5668 ns/op

WorkloadWarmup   1: 1048576 op, 973952100.00 ns, 928.8331 ns/op
WorkloadWarmup   2: 1048576 op, 991157600.00 ns, 945.2415 ns/op
WorkloadWarmup   3: 1048576 op, 761422800.00 ns, 726.1494 ns/op
WorkloadWarmup   4: 1048576 op, 873767300.00 ns, 833.2894 ns/op
WorkloadWarmup   5: 1048576 op, 854684800.00 ns, 815.0909 ns/op
WorkloadWarmup   6: 1048576 op, 717629600.00 ns, 684.3849 ns/op

// BeforeActualRun
WorkloadActual   1: 1048576 op, 654372600.00 ns, 624.0583 ns/op
WorkloadActual   2: 1048576 op, 646638900.00 ns, 616.6829 ns/op
WorkloadActual   3: 1048576 op, 823937000.00 ns, 785.7676 ns/op
WorkloadActual   4: 1048576 op, 866830700.00 ns, 826.6742 ns/op
WorkloadActual   5: 1048576 op, 977040300.00 ns, 931.7782 ns/op
WorkloadActual   6: 1048576 op, 938442000.00 ns, 894.9680 ns/op
WorkloadActual   7: 1048576 op, 827557400.00 ns, 789.2202 ns/op
WorkloadActual   8: 1048576 op, 742477300.00 ns, 708.0815 ns/op
WorkloadActual   9: 1048576 op, 649779100.00 ns, 619.6776 ns/op
WorkloadActual  10: 1048576 op, 650469100.00 ns, 620.3357 ns/op
WorkloadActual  11: 1048576 op, 703336400.00 ns, 670.7539 ns/op
WorkloadActual  12: 1048576 op, 679895400.00 ns, 648.3988 ns/op
WorkloadActual  13: 1048576 op, 666007800.00 ns, 635.1545 ns/op
WorkloadActual  14: 1048576 op, 653693700.00 ns, 623.4109 ns/op
WorkloadActual  15: 1048576 op, 849927700.00 ns, 810.5542 ns/op
WorkloadActual  16: 1048576 op, 863319400.00 ns, 823.3255 ns/op
